,Address,BuildingAddress,BuildingCity,BuildingName,BuildingState,BuildingZip,CourtType,LocationId,MainOffice,OfficeName,Phone,distance,order_expression
0,"52 Duane Street
New York, NY 10007-1226
",52 Duane Street,New York,,NY,10007-1226,Federal Defenders,1775,1,"Federal Defenders of New York, Inc.",212-417-8700,0.1607651901280141,5
1,"Thurgood Marshall United States Courthouse
40 Centre Street
New York, NY 10007-1501
",40 Centre Street,New York,Thurgood Marshall United States Courthouse,NY,10007-1501,Appeals Court,22,1,Second Circuit Court of Appeals Clerk,212-857-8500,0.17575961465827467,1
2,"Thurgood Marshall United States Courthouse
40 Centre Street
New York, NY 10007-1501
",40 Centre Street,New York,Thurgood Marshall United States Courthouse,NY,10007-1501,Appeals Court,33,1,Second Circuit Librarian,212-857-8900,0.17575961465827467,1
3,"Thurgood Marshall United States Courthouse
40 Centre Street
New York, NY 10007-1501
",40 Centre Street,New York,Thurgood Marshall United States Courthouse,NY,10007-1501,District Court,1708,0,New York Southern District Court,212-805-0136,0.17575961465827467,2
4,"Daniel Patrick Moynihan United States Courthouse
500 Pearl Street
New York, NY 10007-1312
",500 Pearl Street,New York,Daniel Patrick Moynihan United States Courthouse,NY,10007-1312,District Court,555,1,New York Southern District Court,212-805-0136,0.23847481298909665,2
5,"Daniel Patrick Moynihan United States Courthouse
500 Pearl Street
New York, NY 10007-1312
",500 Pearl Street,New York,Daniel Patrick Moynihan United States Courthouse,NY,10007-1312,Probation/Pretrial Services,561,1,New York Southern Probation Office,212-805-0040,0.23847481298909665,4
6,"Daniel Patrick Moynihan United States Courthouse
500 Pearl Street
New York, NY 10007-1312
",500 Pearl Street,New York,Daniel Patrick Moynihan United States Courthouse,NY,10007-1312,Probation/Pretrial Services,564,1,New York Southern Pretrial Services,212-805-4300,0.23847481298909665,4
7,"Alexander Hamilton Custom House
One Bowling Green
New York, NY 10004
",One Bowling Green,New York,Alexander Hamilton Custom House,NY,10004,Bankruptcy Court,319,1,New York Southern Bankruptcy Court,212-668-2870,0.7037904780984378,3
8,"Emanuel Celler Federal Building
225 Cadman Plaza East
Brooklyn, NY 11201-1818
",225 Cadman Plaza East,Brooklyn,Emanuel Celler Federal Building,NY,11201-1818,Appeals Court,28,0,Second Circuit Librarian,718-260-2320,1.3485028360936777,1
9,"Charles L. Brieant, Jr. United States Courthouse
300 Quarropas Street
White Plains, NY 10601-4150
",300 Quarropas Street,White Plains,"Charles L. Brieant, Jr. United States Courthouse",NY,10601-4150,District Court,557,0,New York Southern District Court,914-390-4100,25.016002294197516,2
10,"Charles L. Brieant, Jr. United States Courthouse
300 Quarropas Street
White Plains, NY 10601-4150
",300 Quarropas Street,White Plains,"Charles L. Brieant, Jr. United States Courthouse",NY,10601-4150,Bankruptcy Court,321,0,New York Southern Bankruptcy Court,914-467-7250,25.016002294197516,3
11,"Charles L. Brieant, Jr. United States Courthouse
300 Quarropas Street
White Plains, NY 10601-4150
",300 Quarropas Street,White Plains,"Charles L. Brieant, Jr. United States Courthouse",NY,10601-4150,Probation/Pretrial Services,563,0,New York Southern Probation Office,914-390-4040,25.016002294197516,4
12,"Charles L. Brieant, Jr. United States Courthouse
300 Quarropas Street
White Plains, NY 10601-4150
",300 Quarropas Street,White Plains,"Charles L. Brieant, Jr. United States Courthouse",NY,10601-4150,Probation/Pretrial Services,565,0,New York Southern Pretrial Services,914-390-4140,25.016002294197516,4
