POPS_Number,Borough_Name,Borough_Code,Community_District,Address_Number,Street_Name,Zip_Code,Building_Address_With_Zip_Code,Tax_Block,Tax_Lot,Building_Name,Building_Location,Year_Completed,Stories,Alternate_Stories,New_Building_Number,Building_Constructed,Primary_Building_Use,Additional_Addresses,Public_Space_Location,Public_Space_Type,Arcade,Covered_Pedestrian_Space,Elevated_Plaza,Open_Air_Concourse,Pedestrian_Circulation_Space,Plaza,Public_Plaza,Residential_Plaza,Sidewalk_Widening,Through_Block_Arcade,Through_Block_Connection,Through_Block_Galleria,Urban_Plaza,Other_Public_Spaces,Other_Public_Spaces_List,Developer,Building_Architect,Principal_Public_Space_Designer,Size_Required,Hour_Of_Access_Required_List,Hour_Of_Access_Required,Open_24_Hours,Restricted_Hours,Closing_for_Events,Amenities_Required_List,Amenities_Required,None,Artwork,Bicycle_Parking,Climate_Control,Drinking_Fountain,Elevator,Escalator,Food_Service,Lighting,Litter_Receptacles,Planting,Plaque_Sign,Programs,Restrooms,Retail_Frontage,Seating,Subway,Tables,Trees_on_Street,Trees_within_Space,Water_Feature,Other_Required,Permitted_Amenities_List,Permitted_Amenities,Open_Air_Cafe,Other_Permitted,Physically_Disabled,Latitude,Longitude,XCoordinate,YCoordinate
K020001,Brooklyn,3,02,130,LIVINGSTON STREET,11201,"130 LIVINGSTON STREET, Brooklyn, NY 11201",00163,0001,Livingston Plaza,"Full block bounded by Livingston Street, Schermerhorn Street, Smith Street, and Boerem Place",1991,12,,"610/89",Completed,Commercial,,,Plaza,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,Cohen Brothers,"Murphy/Jahn Architects","Murphy/Jahn Architects",Plaza 19201.00 sf,24 Hours,Plaza: 24 Hours,Yes,,,Lighting; Litter Receptacles; Other Required; Planting; Seating; Trees on Street,"Plaza: Lighting; Plaza: Litter Receptacles; Plaza: Other Required (decorative pavement near intersection of Boerem Place and Livingston Street); Plaza: Planting (10 grade-level planting beds, 9 raised planters); Plaza: Seating (6 benches); Plaza: Trees on Street (5 along Livingston Street)",,,,,,,,,Yes,Yes,"10 grade-level planting beds, 9 raised planters",,,,,6 benches,,,5 along Livingston Street,,,decorative pavement near intersection of Boerem Place and Livingston Street,,,,,"Full/Partial",40.690409,-73.988771 ,0987364,0190811
K020002,Brooklyn,3,02,350,JAY STREET,11201,"350 JAY STREET, Brooklyn, NY 11201",00140,7501,Renaissance Plaza,West side of Jay Street between Willoughby Street and Tech Place,1998,29,,,Completed,Commercial; Hotel,,,Urban Plaza,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,Muss Development Company,William B. Tabler Architects,"William B. Tabler Architects/Office of William B. Kuhl; William B. Tabler Architects/Moss Gilday Group (for alteration in 2003)",Urban Plaza 28805.00 sf,24 Hours,Urban Plaza: 24 Hours,Yes,,,"Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Trees on Street; Trees within Space","Urban Plaza: Lighting; Urban Plaza: Litter Receptacles (14.4 cubic feet required, a minimum of 20 cf provided); Urban Plaza: Planting; Urban Plaza: Plaque/Sign; Urban Plaza: Retail Frontage (14% of building frontage); Urban Plaza: Seating (420 linear feet); Urban Plaza: Trees on Street (at minimum one tree per 25 feet along Adams Street); Urban Plaza: Trees within Space (32 required, 72 provided)",,,,,,,,,Yes,"14.4 cubic feet required, a minimum of 20 cf provided",Yes,Yes,,,14% of building frontage,420 linear feet,,,at minimum one tree per 25 feet along Adams Street,"32 required, 72 provided",,,Other Permitted,"Urban Plaza: Other Permitted (North Terrace will have the ability to accommodate lunch vendor cart; ""planter/sculpture area"" on eastern end of through-block section of Urban Plaza)",,"North Terrace will have the ability to accommodate lunch vendor cart; ""planter/sculpture area"" on eastern end of through-block section of Urban Plaza","Full/Partial",40.693812,-73.987992 ,0987580,0192051
K020003,Brooklyn,3,02,1,METROTECH CENTER,11201,"1 METROTECH CENTER, Brooklyn, NY 11201",00147,0004,,"Bounded by Jay Street, Tech Place, Bridge Street, Tillary Street, Flatbush Avenue, Duffield Street, and Willoughby Street",1990,999,,,Completed,Commercial; Community Facility,,,Commons and Public Areas,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Commons and Public Areas,Forest City MetroTech Associates,"Haines Lundberg Waehler/Skidmore, Owings & Merrill/Swanke Hayden Connell",The Ehrenkrantz Group & Eckstut,Commons and Public Areas 0.00 sf,24 Hours,"Commons and Public Areas: 24 Hours (except Thanksgiving, Christmas, and New Years)","except Thanksgiving, Christmas, and New Years",,,"Artwork; Drinking Fountain; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Seating; Subway; Trees on Street; Trees within Space","Commons and Public Areas: Artwork (The Commons: sculpture pedestal); Commons and Public Areas: Drinking Fountain (The Commons: 1); Commons and Public Areas: Lighting (The Commons: 32 post lanterns; Flatbush Court: 10 post lanterns; Jay Plaza: 5 post lanterns; Myrtle Promenade: 30 post lanterns, 2 wall bracket lights; Project Perimeter: 34 post lanterns; Public Areas in arcades: pendant lanterns); Commons and Public Areas: Litter Receptacles (The Commons: 14; Flatbush Courth: 3; Jay Plaza: 2; Myrtle Promenade: 15; Project Perimeter: 26); Commons and Public Areas: Other Required (Jay Plaza: newsstand, trellis; security); Commons and Public Areas: Planting (The Commons: 2 grass lawns; Flatbush Court: 1 large seasonal display planter next to Flatbush Court; Jay Plaza: 3 large planters with seasonal flower displays; Myrtle Promenade: larger central seasonal display planter, 5 smaller seasonal planters, myrtle as ground cover); Commons and Public Areas: Plaque/Sign (6); Commons and Public Areas: Seating (The Commons: 36 benches; Jay Plaza: 1 bench; Myrtle Promenade: 108 benches; Project Perimeter: 38 benches); Commons and Public Areas: Subway (Jay Plaza: stair access to subway station); Commons and Public Areas: Trees on Street (counted in ""Trees within Space""); Commons and Public Areas: Trees within Space (The Commons: 96 honey locust, 22 sargent cherry, 28 red maple, 2 saucer magnolia; Flatbush Court: 16 saucer magnolia; Jay Plaza: 14 london plane; Myrtle Promenade: 44 london plane; Project Perimeter: 204 trees including 75 red maple, 126 london plane, and 3 sargent cherry)",,The Commons: sculpture pedestal,,,The Commons: 1,,,,"The Commons: 32 post lanterns; Flatbush Court: 10 post lanterns; Jay Plaza: 5 post lanterns; Myrtle Promenade: 30 post lanterns, 2 wall bracket lights; Project Perimeter: 34 post lanterns; Public Areas in arcades: pendant lanterns",The Commons: 14; Flatbush Courth: 3; Jay Plaza: 2; Myrtle Promenade: 15; Project Perimeter: 26,"The Commons: 2 grass lawns; Flatbush Court: 1 large seasonal display planter next to Flatbush Court; Jay Plaza: 3 large planters with seasonal flower displays; Myrtle Promenade: larger central seasonal display planter, 5 smaller seasonal planters, myrtle as ground cover",6,,,,The Commons: 36 benches; Jay Plaza: 1 bench; Myrtle Promenade: 108 benches; Project Perimeter: 38 benches,Jay Plaza: stair access to subway station,,"counted in ""Trees within Space""","The Commons: 96 honey locust, 22 sargent cherry, 28 red maple, 2 saucer magnolia; Flatbush Court: 16 saucer magnolia; Jay Plaza: 14 london plane; Myrtle Promenade: 44 london plane; Project Perimeter: 204 trees including 75 red maple, 126 london plane, and 3 sargent cherry",,"Jay Plaza: newsstand, trellis; security",,,,,"Full/Partial",40.693222,-73.986719 ,0987933,0191836
K020006,Brooklyn,3,02,111,LIVINGSTON STREET,11201,"111 LIVINGSTON STREET, Brooklyn, NY 11201",00266,0001,,Northwest corner of Livingston Street and Boerem Place,1969,23,,,Completed,Commercial,,,Plaza,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,,Plaza 9920.00 sf,24 Hours,Plaza: 24 Hours,Yes,,,None,Plaza: None,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,"Full/Partial",40.691476,-73.989806 ,0987077,0191200
K020007,Brooklyn,3,02,230,ASHLAND PLACE,11217,"230 ASHLAND PLACE, Brooklyn, NY 11217",02095,7502,Forte,North of Fulton Street between Ashland Place and Rockwell Place,2007,28,,30214567,Completed,"Co-op/Condo; Residential",,,Residential Plaza,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,The Clarett Group,FXFowle Architects,Sullivan Group Design,Residential Plaza 3960.00 sf,24 Hours,Residential Plaza: 24 Hours,Yes,,,"Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space","Residential Plaza: Bicycle Parking (9 spaces required, 12 spaces provided); Residential Plaza: Drinking Fountain (1); Residential Plaza: Lighting; Residential Plaza: Litter Receptacles (8.28 cubic feet required, 2 litter receptacles at 5 cf each provided); Residential Plaza: Other Required (adjacent wall of Brooklyn Academy of Music covered in planting); Residential Plaza: Planting (621 sf required, 833 sf provided); Residential Plaza: Plaque/Sign (1 required, 2 provided); Residential Plaza: Seating (139 linear feet including 14 lf with backs required, 148.22 lf including 91.82 lf of seatwall and 56.4 lf benches with backs provided); Residential Plaza: Trees on Street (5 (no computation shown)); Residential Plaza: Trees within Space (8 required, 11 provided)",,,"9 spaces required, 12 spaces provided",,1,,,,Yes,"8.28 cubic feet required, 2 litter receptacles at 5 cf each provided","621 sf required, 833 sf provided","1 required, 2 provided",,,,"139 linear feet including 14 lf with backs required, 148.22 lf including 91.82 lf of seatwall and 56.4 lf benches with backs provided",,,5 (no computation shown),"8 required, 11 provided",,adjacent wall of Brooklyn Academy of Music covered in planting,,,,,"Full/Partial",40.688253,-73.978636 ,0990230,0190089
K020008,Brooklyn,3,02,343,GOLD STREET,11201,"343 GOLD STREET, Brooklyn, NY 11201",02049,0002,Avalon Fort Greene,North of Myrtle Avenue between Flatbush Avenue Extension and Prince Street,2008,42,,,Completed,Residential,,,Residential Plaza,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,"Avalon Bay Communities, Inc.",Perkins Eastman,Moss Gilday Group,Residential Plaza 17475.00 sf,24 Hours,Residential Plaza: 24 Hours,Yes,,,"Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space","Residential Plaza: Bicycle Parking (Primary Space: 25 spaces required, 13 bicycle racks with 2 spaces per rack provided); Residential Plaza: Drinking Fountain (Primary Space: 1); Residential Plaza: Lighting; Residential Plaza: Litter Receptacles (Primary Space: 25 cubic feet required, 7 receptacles at 5.2 cf (36 cf total) provided; Usable Residual Space: 13 cf required, 4 receptacles at 5.2 cf each (20 cf total) provided); Residential Plaza: Planting (Primary Space: 1,870 sf required, 5,925 sf provided; Usable Residual Space: 935 sf required, 2,648 sf provided); Residential Plaza: Plaque/Sign (2); Residential Plaza: Seating (Primary Space: 415.46 linear feet required, 417 lf including 7 two-seat benches (28 lf), 23 three-seat benches (138 lf) and 251 lf of seatwall provided; Usable Residual Space: 208 lf required, 227 lf including 5 two-seat benches (20 lf), 16 three-seat benches (96 lf), and 111 lf of seatwall provided); Residential Plaza: Trees on Street (26 required, 25 provided (1 tree can't be planted due to below grade conditions)); Residential Plaza: Trees within Space (Primary Space: 19; Usable Residual Space: 6 required, 13 provided)",,,"Primary Space: 25 spaces required, 13 bicycle racks with 2 spaces per rack provided",,Primary Space: 1,,,,Yes,"Primary Space: 25 cubic feet required, 7 receptacles at 5.2 cf (36 cf total) provided; Usable Residual Space: 13 cf required, 4 receptacles at 5.2 cf each (20 cf total) provided","Primary Space: 1,870 sf required, 5,925 sf provided; Usable Residual Space: 935 sf required, 2,648 sf provided",2,,,,"Primary Space: 415.46 linear feet required, 417 lf including 7 two-seat benches (28 lf), 23 three-seat benches (138 lf) and 251 lf of seatwall provided; Usable Residual Space: 208 lf required, 227 lf including 5 two-seat benches (20 lf), 16 three-seat benches (96 lf), and 111 lf of seatwall provided",,,"26 required, 25 provided (1 tree can't be planted due to below grade conditions)","Primary Space: 19; Usable Residual Space: 6 required, 13 provided",,,,,,,Unknown,40.694078,-73.982885 ,0988996,0192148
K020009,Brooklyn,3,02,203,JAY STREET,11201,"203 JAY STREET, Brooklyn, NY 11201",00107,0001,,Building located on the east side of Jay Street between Concord Street and Nassau Street,Under Construction,,,,Under Construction,Community Facility; Hotel; Residential,,Northeast corner of Jay and Concord Streets,Public Plaza,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,,,Scape Landscape Architecture PLLC,Public Plaza 10405.00 sf,24 Hours,Public Plaza: 24 Hours,Yes,,,"Artwork; Bicycle Parking; Drinking Fountain; Food Service; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space","Public Plaza: Artwork; Public Plaza: Bicycle Parking (Parking for 6 bikes provided); Public Plaza: Drinking Fountain (1); Public Plaza: Food Service; Public Plaza: Litter Receptacles (6); Public Plaza: Planting (2,166 sf of planting provided.); Public Plaza: Plaque/Sign (Jay Street: 2 entry plaques; Concord Street: 4 entry plaques); Public Plaza: Seating (349.46 LF of seating provided including fixed benches, planter ledge, seatwall and 120 sf of movable seating.); Public Plaza: Trees on Street (16); Public Plaza: Trees within Space (31 total trees provided)",,Yes,Parking for 6 bikes provided,,1,,,Yes,,6,"2,166 sf of planting provided.",Jay Street: 2 entry plaques; Concord Street: 4 entry plaques,,,,"349.46 LF of seating provided including fixed benches, planter ledge, seatwall and 120 sf of movable seating.",,,16,31 total trees provided,,,,,,,"Full/Partial",40.698099,-73.986566 ,0987860,0193622
K020010,Brooklyn,3,02,620,FULTON STREET,11217,"620 FULTON STREET, Brooklyn, NY 11217",02108,0001,,Building is located at the northeast corner of Fulton Street and St. Felix Street.,2017,12,,,Completed,Commercial; Mixed,,Eastern portion of the development site at the corner of Fulton Street and St. Felix Street,Public Plaza,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,,,"Langan, Civil Engineer & Landscape Architect",Public Plaza 2768.00 sf,24 Hours,Public Plaza: 24 Hours,Yes,,,"Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Trees within Space","Public Plaza: Bicycle Parking (1 rack to accomodate parking for 2 bicycles); Public Plaza: Drinking Fountain (1); Public Plaza: Lighting; Public Plaza: Litter Receptacles (2); Public Plaza: Planting (557.1 sf planting beds); Public Plaza: Plaque/Sign (3 entry signs, 1 information plaque combined with entry plaque on free standing post); Public Plaza: Retail Frontage (27'-11"" retail frontage); Public Plaza: Seating (96 LF of seating provided including fixed individual seats, fixed benches with and without backs); Public Plaza: Trees within Space (3 shade trees and 1 equivalent multistem tree)",,,1 rack to accomodate parking for 2 bicycles,,1,,,,Yes,2,557.1 sf planting beds,"3 entry signs, 1 information plaque combined with entry plaque on free standing post",,,"27'-11"" retail frontage","96 LF of seating provided including fixed individual seats, fixed benches with and without backs",,,,3 shade trees and 1 equivalent multistem tree,,,,,,,"Full/Partial",40.687418,-73.977918 ,0990464,0189776
K020011,Brooklyn,3,02,90,SANDS STREET,11201,"90 SANDS STREET, Brooklyn, NY 11201",00087,0009,,"Full block bound by Sands Street, Jay Street, High Street, and Pearl Street.",1996,29,,,Completed,Commercial,,"Fronting Sands Street, Jay Street, and High Street",Plaza,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,,Plaza 7672.25 sf,24 Hours,Plaza: 24 Hours,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,40.699584,-73.987158 ,0987794,0194331
M010002,Manhattan,1,01,101,BARCLAY STREET,10007,"101 BARCLAY STREET, New York, NY 10007",00128,0002,,"Full block bounded by Barclay, Greenwich, Murray, and West Streets",1983,26,,"475/83",Completed,Commercial,,,Pedestrian Easement; Public Lobby,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Pedestrian Easement; Public Lobby,,"Skidmore, Owings & Merrill","Skidmore, Owings & Merrill",Pedestrian Easement 0.00 sf; Public Lobby 0.00 sf,24 Hours,Pedestrian Easement: 24 Hours; Public Lobby: 24 Hours,Yes,,,None; Trees on Street; Trees within Space,Pedestrian Easement: Trees on Street (41 in sidewalk and building setback area); Pedestrian Easement: Trees within Space (7); Public Lobby: None,Yes,,,,,,,,,,,,,,,,,,41 in sidewalk and building setback area,7,,,,,,,"Full/Partial",40.714510,-74.012236 ,0980858,0199592
