,ORGANIZATION_ID,SERVICE_ID,LOCATION_ID,ADDRESS_ID,SERVICE_LOCATION_ID,AGENCY_ID,CONTRACT_ID,VERIFY_ID,FILE_SOURCE,AGENCY_NAME,AGES_SERVED,CONTRACT_NUMBER,CONTRACT_AMOUNT,CONTRACT_START,CONTRACT_END,FISCAL_YEAR,PROVIDER_NAME,EIN,PROGRAM_NAME,SOURCE_AGENCY_ID,bbl,bin,cd,council,latitude,longitude,nta,tract,SITE_CATCHMENT,SITE_ADDRESS_1,SITE_ADDRESS_2,SITE_BORO,SITE_BUDGET,SITE_CITY,SITE_NAME,SITE_PHONE,ALTERNATE_SITE_PHONE,SITE_STATE,SITE_COUNTRY,SITE_URL,SITE_ZIP,VERIFICATION_DATE,active,STATUS,NOTES,SITE_INTERSECTION_STREET_1,SITE_INTERSECTION_STREET_2,STREET_NUMBER,STREET_NAME,SUPPRESS_ADDRESS,SCHEDULE,GRADES_SERVED,POPULATION_SERVED
0,1,1,1,1,1,69,1,1,DSS,HRA,,CT106920171409395,1717753.0,2016-10-01,2019-09-30,FY2018,LEGAL SERVICES NYC,13-2600199,CUSTOMIZED ASSISTANCE SERVICES (CAS),,1001480015,1001622,101,1,40.7173622343,-74.0068973325,MN24,33,,40 WORTH STREET,,Manhattan,,NEW YORK,,,,NY,US,,10013,2018-02-07,1,,,,,40,WORTH STREET,0,,,
1,1,1,1,1,1,69,2,2,DSS,HRA,,CT106920171413068,2099475.0,2016-10-01,2019-09-30,FY2018,LEGAL SERVICES NYC,13-2600199,CUSTOMIZED ASSISTANCE SERVICES (CAS),,1001480015,1001622,101,1,40.7173622343,-74.0068973325,MN24,33,,40 WORTH STREET,,Manhattan,,NEW YORK,,,,NY,US,,10013,2018-02-07,1,,,,,40,WORTH STREET,0,,,
2,1,2,1,1,2,69,3,3,DSS,HRA,,CT106920150002542,,,,FY2018,LEGAL SERVICES NYC,13-2600199,LEGAL SERVICES INITIATIVES,,1001480015,1001622,101,1,40.7173622343,-74.0068973325,MN24,33,,40 WORTH STREET,,Manhattan,,NEW YORK,,,,NY,US,,10013,2018-02-07,1,,,,,40,WORTH STREET,0,,,
3,1,2,1,1,2,69,4,4,DSS,HRA,,CT106920161416161,,,,FY2018,LEGAL SERVICES NYC,13-2600199,LEGAL SERVICES INITIATIVES,,1001480015,1001622,101,1,40.7173622343,-74.0068973325,MN24,33,,40 WORTH STREET,,Manhattan,,NEW YORK,,,,NY,US,,10013,2018-02-07,1,,,,,40,WORTH STREET,0,,,
4,1,2,1,1,2,69,5,5,DSS,HRA,,CT106920161417633,1937058.0,2015-10-01,2018-09-30,FY2018,LEGAL SERVICES NYC,13-2600199,LEGAL SERVICES INITIATIVES,,1001480015,1001622,101,1,40.7173622343,-74.0068973325,MN24,33,,40 WORTH STREET,,Manhattan,,NEW YORK,,,,NY,US,,10013,2018-02-07,1,,,,,40,WORTH STREET,0,,,
5,1,2,4,4,5,69,5,6,DSS,HRA,,CT106920161417633,1937058.0,2015-10-01,2018-09-30,FY2018,LEGAL SERVICES NYC,13-2600199,LEGAL SERVICES INITIATIVES,,1017230033,1053504,110,9,40.8065220415,-73.9424933948,MN11,200,,1 WEST 125 STREET,,Manhattan,,NEW YORK,,,,NY,US,,10027,2018-02-07,1,,,,,1,WEST 125 STREET,0,,,
6,1,2,1,1,2,69,6,7,DSS,HRA,,CT106920161425667,,,,FY2018,LEGAL SERVICES NYC,13-2600199,LEGAL SERVICES INITIATIVES,,1001480015,1001622,101,1,40.7173622343,-74.0068973325,MN24,33,,40 WORTH STREET,,Manhattan,,NEW YORK,,,,NY,US,,10013,2018-02-07,1,,,,,40,WORTH STREET,0,,,
7,1,2,1,1,2,69,7,8,DSS,HRA,,CT106920161426882,,,,FY2018,LEGAL SERVICES NYC,13-2600199,LEGAL SERVICES INITIATIVES,,1001480015,1001622,101,1,40.7173622343,-74.0068973325,MN24,33,,40 WORTH STREET,,Manhattan,,NEW YORK,,,,NY,US,,10013,2018-02-07,1,,,,,40,WORTH STREET,0,,,
8,1,2,1,1,2,69,8,9,DSS,HRA,,CT106920171404771,32062004.0,2016-01-01,2018-06-30,FY2018,LEGAL SERVICES NYC,13-2600199,LEGAL SERVICES INITIATIVES,,1001480015,1001622,101,1,40.7173622343,-74.0068973325,MN24,33,,40 WORTH STREET,,Manhattan,,NEW YORK,,,,NY,US,,10013,2018-02-07,1,,,,,40,WORTH STREET,0,,,
9,1,2,2,2,3,69,8,10,DSS,HRA,,CT106920171404771,32062004.0,2016-01-01,2018-06-30,FY2018,LEGAL SERVICES NYC,13-2600199,LEGAL SERVICES INITIATIVES,,5000070086,5000073,501,49,40.6438101032,-74.0763779927,SI22,3,,36 RICHMOND TERRACE,,Staten Island,,STATEN ISLAND,,,,NY,US,,10301,2018-02-07,1,,,,,36,RICHMOND TERRACE,0,,,
