,title,address,phone,position,bus,subway,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,hours,closingmsg,access,tags,path,branchid,pickuploc,branchlist
0,Annex,"1 John Street Brooklyn, NY 11201",347.889.0159,"40.704622800000, -73.987823800000",B25;B67,A;C;F,,2:00pm - 8:00pm,10:00am - 1:00pm,2:00pm - 8:00pm,10:00am - 1:00pm,,,Today's Hours: 2:00pm - 8:00pm,,Fully accessible,accessible;open now;open late;,https://www.bklynlibrary.org/locations/annex,88,1,1
1,Arlington Library,"203 Arlington Ave. at Warwick St. Brooklyn, NY 11207",718.277.6105,"40.680663100000, -73.887342100000",Q24;Q56,J,10:00am - 6:00pm,10:00am - 6:00pm,1:00pm - 8:00pm,10:00am - 8:00pm,10:00am - 6:00pm,10:00am - 5:00pm,,Today's Hours: 10:00am - 8:00pm,,Fully accessible,accessible;open now;open late;passport office;,https://www.bklynlibrary.org/locations/arlington,21,1,1
2,Bay Ridge Library,"7223 Ridge Blvd. at 73rd St. Brooklyn, NY 11209",718.748.5709,"40.633606800000, -74.029507300000",B4;B9;B64;B70,R,10:00am - 6:00pm,10:00am - 6:00pm,10:00am - 8:00pm,1:00pm - 8:00pm,10:00am - 6:00pm,10:00am - 5:00pm,,Today's Hours: 1:00pm - 8:00pm,,Fully accessible,accessible;open now;open late;,https://www.bklynlibrary.org/locations/bay-ridge,28,1,1
3,Bedford Library,"496 Franklin Avenue Brooklyn, NY 11238",718.623.0012,"40.681832300000, -73.956238000000",B25;B26;B48;B49,C;S,10:00am - 6:00pm,10:00am - 6:00pm,1:00pm - 8:00pm,10:00am - 8:00pm,10:00am - 6:00pm,10:00am - 5:00pm,,Temporary Closing,"Due to insufficient heat, the Bedford Library will be close to the public at 3:45pm, Thursday, November 14, 2019. We apologize for any inconvenience. 


	
	
		
		 
		
	
	





",Fully accessible,accessible;temporary closing;learning center;,https://www.bklynlibrary.org/locations/bedford,22,1,1
4,Borough Park Library,"1265 43rd St. at 13th Ave. Brooklyn, NY 11219",718.437.4085,"40.638887900000, -73.989001100000",B11;B16;B35,D,10:00am - 6:00pm,10:00am - 8:00pm,10:00am - 6:00pm,10:00am - 8:00pm,10:00am - 6:00pm,,1:00pm - 5:00pm,Today's Hours: 10:00am - 8:00pm,,Fully accessible,accessible;open now;open late;book drop;open sundays,https://www.bklynlibrary.org/locations/borough-park,25,1,1
5,Brighton Beach Library,"16 Brighton First Rd. at Brighton Beach Ave. Brooklyn, NY 11235",718.946.2917,"40.576178400000, -73.966799500000",B1;B68,B;Q,10:00am - 6:00pm,1:00pm - 8:00pm,10:00am - 8:00pm,10:00am - 6:00pm,10:00am - 6:00pm,10:00am - 5:00pm,,Today's Hours: 10:00am - 6:00pm,,Fully accessible,accessible;open now;,https://www.bklynlibrary.org/locations/brighton-beach,24,1,1
6,Brooklyn Heights Library,"109 Remsen Street Brooklyn, NY 11201",718.623.7100,"40.694073700000, -73.994015000000",B25;B26;B38;B41;B52,2;3;4;5;A;C;F;R,10:00am - 6:00pm,10:00am - 8:00pm,10:00am - 8:00pm,10:00am - 8:00pm,10:00am - 6:00pm,10:00am - 5:00pm,,Today's Hours: 10:00am - 8:00pm,,Fully accessible,accessible;open now;open late;book drop;,https://www.bklynlibrary.org/locations/brooklyn-heights,50,1,1
7,Brower Park Library,"725 St. Marks Ave. at Nostrand Ave. Brooklyn, NY 11216",718.773.7208,"40.675362900000, -73.948565000000",B44;B45;B65,3;A;C,10:00am - 6:00pm,10:00am - 6:00pm,10:00am - 8:00pm,1:00pm - 8:00pm,10:00am - 6:00pm,10:00am - 5:00pm,,Today's Hours: 1:00pm - 8:00pm,,Fully accessible,accessible;open now;open late;,https://www.bklynlibrary.org/locations/brower-park,79,1,1
8,Brownsville Library,"61 Glenmore Ave. at Watkins St. Brooklyn, NY 11212",718.498.9721,"40.671344700000, -73.908388200000",B12;B14;B60,3;J;L,10:00am - 6:00pm,1:00pm - 8:00pm,10:00am - 8:00pm,10:00am - 6:00pm,10:00am - 6:00pm,10:00am - 5:00pm,,Today's Hours: 10:00am - 6:00pm,,Fully accessible,accessible;open now;,https://www.bklynlibrary.org/locations/brownsville,27,1,1
9,Bushwick Library,"340 Bushwick Avenue Brooklyn, NY 11206",718.602.1348,"40.704569400000, -73.939610100000",B43;B46;B57;B60,J;L;M,10:00am - 6:00pm,10:00am - 6:00pm,10:00am - 8:00pm,1:00pm - 8:00pm,10:00am - 6:00pm,10:00am - 5:00pm,,Today's Hours: 1:00pm - 8:00pm,,Fully accessible,accessible;open now;open late;,https://www.bklynlibrary.org/locations/bushwick,29,1,1
