,id,title,description,street,city,state,postal_code,lat,lng,phone,fax,email,website,logo_id,path,start_time,end_time,marker_id,description_2,days,time_per_day,store_id,start_time_0,end_time_0,start_time_1,end_time_1,start_time_2,end_time_2,start_time_3,end_time_3,start_time_4,end_time_4,start_time_5,end_time_5,start_time_6,end_time_6,categories
0,134,Abraham House Inc.,Althea Brooks,342 Willis Avenue,Bronx,NY,10454,40.811337,-73.921357,718-292-9321 x110,,,,27,58ab4127e452b_pantry_logo2.png,,,44,Sat: 6:30AM-7:30AM,,0,,,,,,,,,,,,,,,,64
1,218,Abrigo Del Altisimo,Jackie Vazquez,2009 Monterey Avenue,Bronx,NY,10457,40.847807,-73.894625,718-669-4826,,,,27,58ab4127e452b_pantry_logo2.png,,,44,Tue: 2:00PM-4:00PM,,0,,,,,,,,,,,,,,,,64
2,550,ABUNDANT GRACE FOR THE FORSAKEN FOOD PANTRY,HAGAR BORTSIE-ANSAH,3101 Eastchester Road,Bronx,NY,10469,40.827311,-73.908615,347-449-5663,,,,27,58ab4127e452b_pantry_logo2.png,,,44,Sat: 9:00AM-11:00AM,,0,,,,,,,,,,,,,,,,64
3,12,Abundant Life Tabernacle Inc,Jasper Rolle Jr,2692 3rd Avenue,Bronx,NY,10454,40.8135359,-73.922542,718-292-8734,,,,27,58ab4127e452b_pantry_logo2.png,,,44,Tue: 12:30PM-2:00PM|-      -|Thu: 12:30PM-2:00PM,,0,,,,,,,,,,,,,,,,64
4,111,ACQC,Robert Steptoe,161-21 Jamaica Avenue,Jamaica,NY,11432,40.704346,-73.797901,718-896-2500,,,,27,58ab4127e452b_pantry_logo2.png,,,44,Tue: 8:30AM-12:00PM|-      -|Thu: 8:30AM-12:00PM,,0,,,,,,,,,,,,,,,,64
5,204,ACQC,Marie Joseph,1139 Foam Place,Far Rockaway,NY,11691,40.6048529,-73.751294,718-868-8645,,,,27,58ab4127e452b_pantry_logo2.png,,,44,Mon: 1:00PM-3:00PM|-      -|Wed: 1:00PM-3:00PM|-      -|Fri: 1:00PM-3:00PM,,0,,,,,,,,,,,,,,,,64
6,415,ACQC,Karen Perez,62-07 Woodside Avenue,Woodside,NY,11377,40.745061,-73.904262,718-472-9400 x5722,,,,27,58ab4127e452b_pantry_logo2.png,,,44,Tue: 10:00AM-12:00PM|-      -|Thu: 10:00AM-12:00PM,,0,,,,,,,,,,,,,,,,64
7,282,Act of Faith Ministries,Mrs. Victoria Bordoy,141 Manhattan Avenue,Brooklyn,NY,11206,40.7076399,-73.945008,516-852-5934,,,,27,58ab4127e452b_pantry_logo2.png,,,44,Thu: 12:00PM-2:00PM,,0,,,,,,,,,,,,,,,,64
8,420,Acts Community Development Corp.,Vincent Fusco,2114 Mermaid Avenue,Brooklyn,NY,11224,40.576211,-73.988203,718-415-1170,,,,27,58ab4127e452b_pantry_logo2.png,,,44,Tue: 6:00PM-7:30PM|-      -|Thu: 11:00AM-12:00PM,,0,,,,,,,,,,,,,,,,64
9,677,Acts Community Development Corporation,Denise Robbins,2114 Mermaid Avenue,Brooklyn,NY,11224,40.576211,-73.988203,718-415-1170,,,,28,58ab42aa3f633_kitchen.png,,,44,Wed: 6:30PM-8:00PM|-      -|Fri: 6:30PM-8:00PM,,0,,,,,,,,,,,,,,,,65
