,factype,facname,address,zipcode,Borough,Phone,hour
0,Casa Office,CENTRAL INTAKE,"132.W 125th Street, 5th Floor",10027,Manhattan,"929-221-8851, 929-221-8889",M-F 9:00 AM -5:00 PM
1,Casa Office,BRONX CASA,"890 Garrison Avenue, 3rd Floor",10474,Bronx,"929-252-4564, 929-252-4565",M-F 9:00 AM -5:00 PM
2,Casa Office,QUEENS CASA,88-11 165th Street 5th Floor,11432,Queen,"718-883-8165, 718-883-8217",M-F 9:00 AM -5:00 PM
3,Casa Office,BROOKLYN CASA,"88 3rd Ave, 3rd floor Brooklyn, NY 11217",11208,Brooklyn,718-250-5631,M-F 9:00 AM -5:00 PM
4,Casa Office,MANHATTAN CASA,"132 West 125th Street, 5th Floor",10027,Manhattan,"212-666-6267, 212-665-1664",M-F 9:00 AM -5:00 PM
5,Casa Office,STATEN ISLAND CASA,"215 Bay Street, 2nd Floor",10301,Staten Island,"929-221-8778, 929-221-8834",M-F 9:00 AM -5:00 PM
6,Snap Center,SNAP Coney Island Office,2857-2865 W. 8th St.,11224,Brooklyn,929-221-3537,8:30 AM to 5:00 PM
7,Snap Center,SNAP Williamsburg Office ,2 George St,11206,Brooklyn,212-331-4314,8:30 AM to 5:00 PM
8,Snap Center,SNAP Concourse Office,1375 Jerome Ave.,10452,Bronx,929-252-8998 ,"M-F 9:00 AM - 6:00 PM, Sat  9:00 AM - 5:00 PM"
9,Snap Center,SNAP Crotona Office,1910 Monterey Ave.,10457,Bronx,929-252-7436,8:30 AM - 5:00 PM
10,Snap Center,SNAP Hunts Point Office,845 Barretto St. ,10474,Bronx,929-252-4445 ,8:30 AM - 5:00 PM
11,Snap Center,SNAP East End Office,2322 Third Ave.,10035,Manhattan,212-860-5147,8:30 AM - 5:00 PM
12,Snap Center,SNAP East New York Office,404 Pine St.,11208,Brooklyn,929-221-8327 ,8:30 AM to 5:00 PM 
13,Snap Center,SNAP Washington Heights Office,4055 10th Ave.,10034,Manhattan,212-569-9835,8:30 AM - 5:00 PM
14,Snap Center,SNAP Waverly Office,12 W. 14th St.,10011,Manhattan,212-352-2524,9:00 AM to 5:00 PM
15,Snap Center,SNAP Jamaica Center,165-08 88th Ave.,11432,Queens,929-252-3713 ,"M-F 9:00 AM - 6:00 PM, Sat 9:00 AM - 5:00 PM"
16,Snap Center,SNAP Queens Center,32-20 Northern Blvd. ,11101,Queens,718-784-6315,8:30 AM - 5:00 PM
